condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,3663,3663,1,2929162.087,0.417,0.270,-0.129,-0.858,3175,72,187,3008,4095,1337,24,1227,58,0.000,1903,1,0.800,0.060,-0.520,0.280,-0.540,-0.576,0.000,0.818,-0.030,-0.052,-0.022,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,9,1214
stim,3663,3663,1,2929167.087,0.417,0.270,-0.129,-0.858,3163,71,199,3021,4095,1335,24,1227,58,0.000,1903,1,1.405,0.072,-0.520,0.340,-1.260,-0.571,0.008,0.820,-0.030,-0.066,-0.022,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,14,1214
stim,3663,3663,1,2929172.087,0.417,0.270,-0.129,-0.858,3173,73,196,3014,4095,1337,21,1228,58,0.000,1903,1,2.073,0.145,-0.520,0.160,-2.000,-0.569,0.008,0.818,-0.126,-0.072,-0.026,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,19,1214
stim,3680,3680,1,2929177.087,0.417,0.270,-0.129,-0.858,3179,71,200,3027,4095,1341,20,1236,58,0.000,1903,1,2.650,0.145,-0.400,-0.020,-2.620,-0.569,0.004,0.819,-0.126,-0.072,-0.040,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,24,1214
stim,3681,3681,1,2929182.087,0.417,0.270,-0.129,-0.858,3169,70,199,3007,4095,1338,11,1227,58,0.000,1903,1,3.011,0.106,-0.400,-0.160,-2.980,-0.573,0.000,0.819,-0.098,-0.040,-0.040,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,29,1214
stim,3681,3681,1,2929187.087,0.417,0.270,-0.129,-0.858,3170,72,200,3012,4095,1339,7,1230,58,0.000,1903,1,3.333,0.060,-0.520,-0.280,-3.280,-0.573,-0.002,0.818,-0.048,-0.036,-0.024,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,34,1214
stim,3681,3681,1,2929192.087,0.417,0.270,-0.129,-0.858,3177,72,200,3019,4095,1343,16,1237,58,0.000,1903,1,3.560,0.043,-0.700,-0.460,-3.460,-0.575,-0.004,0.819,-0.028,-0.032,-0.020,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,39,1214
stim,3695,3695,1,2929197.087,0.417,0.270,-0.128,-0.858,3171,68,199,2999,4095,1339,9,1231,58,0.000,1903,1,3.604,0.037,-0.780,-0.520,-3.480,-0.574,-0.003,0.819,-0.022,-0.030,-0.012,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,44,1214
stim,3695,3695,1,2929202.087,0.417,0.270,-0.128,-0.858,3160,73,199,3005,4095,1336,11,1235,58,0.000,1903,1,3.598,0.036,-1.020,-0.460,-3.420,-0.572,-0.002,0.821,-0.022,-0.028,-0.010,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,49,1214
stim,3727,3727,1,2929207.087,0.417,0.270,-0.128,-0.858,3165,72,201,2997,4095,1337,6,1235,58,0.000,1903,1,3.544,0.032,-1.260,-0.460,-3.280,-0.571,-0.006,0.820,-0.026,-0.018,-0.010,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,54,1214
stim,3727,3727,1,2929212.087,0.418,0.270,-0.128,-0.858,3161,73,202,2990,4095,1338,4,1235,58,0.000,1903,1,3.585,0.027,-1.560,-0.220,-3.220,-0.573,-0.011,0.822,-0.026,0.008,-0.010,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,59,1214
stim,3746,3746,1,2929217.087,0.418,0.270,-0.128,-0.858,3162,68,204,2987,4095,1336,6,1239,58,0.000,1903,1,3.660,0.037,-1.940,-0.160,-3.100,-0.574,-0.015,0.824,0.018,0.032,0.002,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,64,1214
stim,3746,3746,1,2929222.088,0.418,0.270,-0.128,-0.858,3165,62,213,2987,4095,1333,7,1238,58,0.000,1903,1,3.309,0.055,-1.940,-0.040,-2.680,-0.577,-0.015,0.825,0.042,0.036,0.026,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,69,1214
stim,3746,3746,1,2929227.087,0.418,0.270,-0.128,-0.858,3165,69,215,2979,4095,1334,8,1239,58,0.000,1903,1,2.703,0.068,-1.880,0.100,-1.940,-0.576,-0.016,0.825,0.048,0.048,0.040,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,74,1214
