condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,25636,25636,1,56215.829,0.977,-0.119,-0.174,0.012,3207,0,0,1323,0,72,29,215,0,0.000,0,0,0.089,0.008,-0.080,0.000,0.040,-0.280,0.038,0.961,0.002,-0.008,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1009,0
pre_stim,25636,25636,1,56220.827,0.977,-0.119,-0.174,0.012,3197,0,0,1318,0,62,25,213,0,0.000,0,0,0.082,0.008,-0.080,0.000,-0.020,-0.282,0.039,0.961,-0.002,-0.008,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1014,0
pre_stim,25647,25647,1,56225.829,0.977,-0.119,-0.174,0.012,3192,0,0,1319,0,69,29,211,0,0.000,0,0,0.113,0.002,-0.080,0.000,-0.080,-0.281,0.039,0.962,0.000,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1019,0
pre_stim,25647,25647,1,56230.827,0.977,-0.119,-0.174,0.012,3187,0,0,1322,0,71,27,219,0,0.000,0,0,0.146,0.006,0.040,0.000,-0.140,-0.282,0.039,0.960,-0.006,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1024,0
pre_stim,25647,25647,1,56235.829,0.977,-0.119,-0.174,0.012,3196,0,0,1325,0,60,31,214,0,0.000,0,0,0.028,0.003,-0.020,0.000,-0.020,-0.282,0.038,0.962,-0.002,-0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1029,0
pre_stim,25647,25647,1,56240.827,0.977,-0.119,-0.174,0.012,3190,0,0,1324,0,62,37,216,0,0.000,0,0,0.189,0.003,-0.080,-0.060,0.160,-0.279,0.039,0.961,-0.002,-0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1034,0
pre_stim,25680,25680,1,56245.829,0.977,-0.119,-0.174,0.012,3211,0,0,1323,0,71,37,211,0,0.000,0,0,0.213,0.008,-0.200,0.060,0.040,-0.283,0.033,0.958,-0.002,-0.008,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1039,0
pre_stim,25680,25680,1,56250.827,0.977,-0.119,-0.174,0.012,3213,0,0,1327,0,59,30,213,0,0.000,0,0,0.384,0.028,0.120,0.060,0.360,-0.287,0.040,0.959,-0.028,-0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1044,0
pre_stim,25680,25680,1,56255.829,0.977,-0.119,-0.174,0.012,3192,0,0,1323,0,60,33,213,0,0.000,0,0,0.712,0.029,0.300,-0.180,-0.620,-0.277,0.056,0.968,-0.028,0.008,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1049,0
pre_stim,25680,25680,1,56260.827,0.977,-0.118,-0.174,0.012,3187,0,0,1323,0,61,30,215,0,0.000,0,0,0.711,0.045,-0.560,0.300,-0.320,-0.284,0.013,0.955,-0.044,0.008,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1054,0
