condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,3170,13842,0,6841792.087,0.379,0.254,0.243,0.856,0,0,117,0,3701,0,0,3796,5,0.890,2897,0,342.457,10.203,-78.360,333.160,-11.880,-0.714,0.220,0.559,8.290,5.948,-10.514,1.430,1.422,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3170,13842,0,6841797.087,0.381,0.242,0.235,0.861,0,0,99,0,3719,0,0,3797,5,0.890,2897,0,341.230,9.130,-74.200,332.740,-14.700,-0.629,0.172,0.555,7.072,5.774,-9.546,1.448,1.440,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3170,13842,0,6841802.087,0.383,0.231,0.227,0.865,0,0,92,0,3699,0,0,3795,5,0.890,2897,0,339.293,8.338,-71.460,331.100,-19.640,-0.595,0.198,0.544,6.190,5.586,-8.930,1.470,1.462,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3170,13842,0,6841807.087,0.384,0.220,0.219,0.870,0,0,83,0,3695,0,0,3791,5,0.890,2897,0,336.950,8.061,-72.380,328.280,-23.000,-0.579,0.242,0.522,6.190,5.164,-8.528,1.496,1.488,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3170,13842,0,6841812.087,0.386,0.208,0.210,0.874,0,0,79,0,3699,0,0,3771,5,0.890,2897,0,334.854,7.833,-78.120,324.680,-24.640,-0.568,0.263,0.531,6.298,4.658,-8.306,1.528,1.520,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3184,13855,0,6841817.087,0.387,0.197,0.202,0.878,0,0,85,0,3699,0,0,3794,5,0.890,2897,0,332.745,7.804,-85.800,320.360,-26.960,-0.545,0.253,0.582,6.298,4.608,-7.928,1.564,1.556,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3184,13855,0,6841822.087,0.388,0.186,0.193,0.882,0,0,77,0,3717,0,0,3779,5,0.890,2897,0,330.791,7.757,-91.420,316.380,-31.120,-0.525,0.217,0.674,6.240,4.608,-7.212,1.604,1.598,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3184,13855,0,6841827.087,0.388,0.176,0.185,0.886,0,0,89,0,3702,0,0,3785,5,0.890,2897,0,328.727,7.834,-94.360,312.780,-36.420,-0.509,0.175,0.771,5.972,5.070,-6.214,1.648,1.642,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3184,13855,0,6841832.087,0.388,0.165,0.176,0.889,0,0,77,0,3685,0,0,3787,5,0.890,2897,0,327.006,7.962,-93.860,310.520,-41.240,-0.488,0.132,0.871,5.682,5.578,-5.184,1.696,1.688,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3184,13855,0,6841837.087,0.388,0.154,0.168,0.893,0,0,73,0,3683,0,0,3771,5,0.890,2897,0,326.352,8.035,-90.820,310.040,-46.180,-0.469,0.118,0.933,5.328,6.014,-4.098,1.744,1.738,1.046,1.032,3,2,0,3,7,255,971,250,0,0
